City,Lat,Lon,Mean
Chula Vista,32.6238651,-117.0510483,75253
Chula Vista,32.6023081,-116.9846947,104448
Chula Vista,32.65904,-116.9844864,122996
Citrus Heights,38.7127907,-121.2970596,51458
Citrus Heights,38.7123427,-121.3175766,61345
Citrus Heights,38.6817547,-121.3261844,58470
Citrus Heights,38.6826785,-121.3077787,38438
Citrus Heights,38.6711,-121.2669754,34378
Citrus Heights,38.702848,-121.282751,65320
Citrus Heights,38.7059315,-121.255185,71356
Citrus Heights,38.6856089,-121.2953919,59953
City Of Industry,34.006504,-117.9561891,72912
Claremont,34.087518,-117.7249199,80489
Clayton,37.94032,-121.930076,135724
Clayton,37.9505922,-121.9288441,103133
Clearlake,38.9565553,-122.6403151,41732
Clearlake Oaks,39.081678,-122.575206,46508
Cloverdale,38.8133955,-123.0170717,65845
Clovis,36.7976616,-119.7203949,47015
Clovis,36.8446768,-119.7018656,94931
Clovis,36.8804748,-119.6918625,105422
Clovis,36.8194378,-119.7182719,42459
Clovis,36.8303592,-119.6909537,48088
Clovis,36.8160111,-119.691083,72850
Clovis,36.7865715,-119.6909572,66140
Clovis,36.8119213,-119.7194921,40888
Clovis,36.7864934,-119.5874178,101056
Coachella,33.662898,-116.1700591,45109
Coachella,33.6712432,-116.1823836,39232
Coalinga,36.1419126,-120.3512512,95126
Colfax,39.093799,-120.953222,62241
Colma,37.7001141,-122.480253,80059
Colma,37.6932383,-122.4784484,93432
Colton,34.0814165,-117.3615997,50372
Colton,34.0729192,-117.3378085,45730
Colton,34.0744503,-117.3134389,40967
Colton,34.0602092,-117.3233041,43894
Colton,34.0729192,-117.3378085,50393
Compton,33.894047,-118.227469,52186
Compton,33.894834,-118.195587,55412
Compton,33.9243583,-118.2341162,38523
Compton,33.8984704,-118.2607508,69382
Compton,33.911833,-118.2410907,48052
Compton,33.8997715,-118.218295,49604
Compton,33.9012219,-118.196493,49503
Compton,33.8868935,-118.1971508,48295
Compton,33.8905809,-118.2354568,48508
Compton,33.8996115,-118.2262997,51253
Compton,33.8918787,-118.2453652,52191
Compton,33.8993431,-118.2100244,52953
Compton,33.8868935,-118.1971508,55550
Compton,33.8906679,-118.2582626,68537
Concord,38.0254,-122.02806,67508
Concord,37.9598407,-121.9580852,95624
Concord,37.9550364,-122.0446085,44442
Concord,37.9947641,-122.0338804,81159
Concord,37.9762383,-122.01218,68231
Concord,37.9818413,-121.9976902,55550
Concord,37.9689802,-121.985144,89292
Concord,37.9518749,-121.9871442,145708
Concord,37.9667968,-122.0345236,59001
Concord,37.9550364,-122.0446085,33876
Concord,37.9402165,-122.0080941,173040
Concord,37.9413549,-122.0423547,91817
Concord,37.9368154,-121.970216,150644
Cool,38.8279567,-121.0265108,93996
Corcoran,36.1028669,-119.5738328,48378
Corning,40.004003,-122.42834,37053
Corning,39.8864854,-122.1205504,47144
Corona,33.8991933,-117.5770354,83752
Corona,33.8785017,-117.5888243,27062
Corona,33.8648894,-117.5910428,102062
Corona,33.8557384,-117.5449898,51006
Corona,33.8836237,-117.6564424,124007
Corona,33.8381856,-117.522205,71358
Corona,33.8647762,-117.6207229,87923
Corona,33.7812173,-117.409206,97615
Corona,33.7167408,-117.4192829,90413
Corona,33.8282363,-117.5567013,114136
Corona,33.9048789,-117.5896691,98036
Corona,33.8502157,-117.5997193,112313
Corona,33.8697102,-117.6042543,67277
Corona,33.7812173,-117.409206,80592
Coronado,32.6973819,-117.1785782,109138
Corte Madera,37.9240154,-122.5231563,153399
Costa Mesa,33.5950883,-117.829038,168957
Costa Mesa,33.5927639,-117.8701726,113011
Costa Mesa,33.633742,-117.8827408,119838
Costa Mesa,33.6491715,-117.8908902,137222
Costa Mesa,33.6580976,-117.8936607,106264
Costa Mesa,33.6368927,-117.9169861,73324
